period_start,period_end,ticker,premium,premium_pct,underlying_ret_in_prev_period,current_return_for_underlying,pnl_dollar,pnl_pct,contribution_pct,stock_entry,stock_expiry,strike,payoff,atm_correction,carried,split_factor
2020-10-05,2020-10-30,ABT,3.92,3.6109,1.9,-0.99,-3.92,-3.6109,-0.120363,108.56,107.48,109.0,0.0,0.22,False,1
2020-10-05,2020-10-30,AVGO,11.25,3.0729,1.8,-4.06,-11.25,-3.0729,-0.10243,366.1,351.25,365.0,0.0,-0.55,False,1
2020-10-05,2020-10-30,BX,1.9,3.4997,1.1,-5.45,-1.9,-3.5089,-0.116963,54.29,51.33,54.0,0.0,-0.15,False,1
2020-10-05,2020-10-30,CMCSA,2.07,4.5187,1.7,-9.63,-2.07,-4.5078,-0.15026,45.81,41.4,46.0,0.0,0.1,False,1
2020-10-05,2020-10-30,COST,8.28,2.3091,2.0,1.62,-1.39,-0.3876,-0.01292,358.58,364.39,357.5,6.89,-0.54,False,1
2020-10-05,2020-10-30,KO,1.39,2.8149,0.5,-1.54,-1.39,-2.8149,-0.09383,49.38,48.62,49.5,0.0,0.06,False,1
2020-10-05,2020-10-30,NKE,4.12,3.221,11.4,-4.32,-4.12,-3.2249,-0.107497,127.91,122.39,128.0,0.0,0.04,False,1
2020-10-05,2020-10-30,NOW,31.0,6.1779,0.9,-5.14,-31.0,-6.1789,-0.205963,501.79,476.0,500.0,0.0,-0.9,False,1
2020-10-05,2020-10-30,ORCL,1.79,3.0054,3.3,-5.22,-1.79,-3.0054,-0.10018,59.56,56.45,59.5,0.0,-0.03,False,1
2020-10-05,2020-10-30,PG,3.61,2.5899,0.9,-0.64,-3.61,-2.5863,-0.08621,139.39,138.5,139.0,0.0,-0.19,False,1
2020-10-05,2020-10-30,UNH,9.68,3.0426,1.7,-1.9,-9.68,-3.041,-0.101367,318.15,312.1,317.5,0.0,-0.32,False,1
2020-10-05,2020-10-30,WFC,1.18,4.8262,1.7,-10.43,-1.18,-4.8466,-0.161553,24.45,21.9,24.5,0.0,0.02,False,1
2020-11-02,2020-11-27,ABBV,3.02,3.4221,0.4,18.86,13.88,15.7224,0.52408,88.25,104.89,88.0,16.89,-0.12,False,1
2020-11-02,2020-11-27,COST,13.4,3.6774,1.6,6.59,9.99,2.7402,0.09134,364.39,388.39,365.0,23.39,0.3,False,1
2020-11-02,2020-11-27,GOOG,63.29,3.8923,9.4,10.28,104.91,6.4519,0.215063,1626.03,1793.2,1625.0,168.2,-0.51,False,20
2020-11-02,2020-11-27,GOOGL,78.24,4.8168,9.5,10.02,83.76,5.1566,0.171887,1624.32,1787.0,1625.0,162.0,0.34,False,20
2020-11-02,2020-11-27,JPM,3.97,3.9601,1.2,20.92,17.24,17.202,0.5734,100.25,121.22,100.0,21.22,-0.12,False,1
2020-11-02,2020-11-27,QCOM,8.01,6.4612,2.9,16.02,11.82,9.5305,0.317683,123.97,143.83,124.0,19.83,0.01,False,1
2020-11-02,2020-11-27,XOM,2.14,6.296,0.7,18.24,4.05,11.9006,0.396687,33.99,40.19,34.0,6.19,0.0,False,1
2020-12-28,2021-01-22,AAPL,5.35,3.914,25.6,4.56,0.56,0.4133,0.013777,136.69,142.92,137.0,5.92,0.15,False,1
2020-12-28,2021-01-22,ABBV,2.86,2.7646,17.2,6.81,4.64,4.4901,0.14967,103.45,110.5,103.0,7.5,-0.22,False,1
2020-12-28,2021-01-22,ABT,3.4,3.1543,0.3,6.43,3.32,3.0754,0.102513,107.79,114.72,108.0,6.72,0.1,False,1
2020-12-28,2021-01-22,AMZN,101.52,3.0914,9.3,0.31,-92.52,-2.8173,-0.09391,3283.96,3294.0,3285.0,9.0,0.52,False,1
2020-12-28,2021-01-22,AVGO,11.01,2.5493,23.0,7.62,21.28,4.9273,0.164243,431.88,464.79,432.5,32.29,0.31,False,1
2020-12-28,2021-01-22,BAC,0.89,2.9539,25.1,3.42,0.27,0.9127,0.030423,30.13,31.16,30.0,1.16,-0.06,False,1
2020-12-28,2021-01-22,BX,2.51,3.8812,26.0,0.48,-2.51,-3.8735,-0.129117,64.67,64.98,65.0,0.0,0.17,False,1
2020-12-28,2021-01-22,CMCSA,1.86,3.6392,23.5,-4.19,-1.86,-3.649,-0.121633,51.11,48.97,51.0,0.0,-0.06,False,1
2020-12-28,2021-01-22,COST,6.65,1.7922,1.8,-2.47,-6.65,-1.7922,-0.05974,371.06,361.88,370.0,0.0,-0.53,False,1
2020-12-28,2021-01-22,CVX,3.15,3.7102,17.7,7.07,2.75,3.2391,0.10797,84.9,90.9,85.0,5.9,0.05,False,1
2020-12-28,2021-01-22,DIS,6.76,3.7795,48.9,-3.9,-6.76,-3.7795,-0.125983,178.86,171.89,180.0,0.0,0.57,False,1
2020-12-28,2021-01-22,GOOG,81.36,4.5808,9.2,6.94,43.04,2.4236,0.080787,1776.09,1899.4,1775.0,124.4,-0.54,False,1
2020-12-28,2021-01-22,GOOGL,75.42,4.2515,9.2,6.69,42.18,2.3777,0.079257,1773.96,1892.6,1775.0,117.6,0.52,False,20
2020-12-28,2021-01-22,IBM,4.19,3.3568,10.5,-5.0,-4.19,-3.3568,-0.111893,124.82,118.58,125.0,0.0,0.09,False,1
2020-12-28,2021-01-22,INTU,10.84,2.8442,20.4,-1.76,-10.84,-2.8442,-0.094807,381.12,374.43,377.5,0.0,-1.81,False,1
2020-12-28,2021-01-22,JNJ,3.15,2.0563,10.5,8.35,10.32,6.74,0.224667,153.19,165.98,152.5,13.48,-0.35,False,1
