month,n_trades,portfolio_contribution_pct_sum,avg_trade_pnl_pct
2020-10,12,-1.36,-3.399
2020-11,7,2.29,9.815
2020-12,34,2.032,1.793
2021-01,26,0.523,0.604
2021-02,20,-0.629,-0.943
2021-03,21,2.415,3.45
2021-04,34,-0.02,-0.018
2021-05,23,0.377,0.492
2021-06,24,1.729,2.162
2021-07,30,0.233,0.233
2021-08,27,0.754,0.837
2021-09,29,-1.264,-1.308
2021-10,11,1.007,2.746
2021-11,31,0.327,0.316
2021-12,26,-2.046,-2.361
2022-01,6,-0.054,-0.268
2022-02,20,0.321,0.481
2022-04,17,-1.031,-1.819
2022-05,7,-0.488,-2.093
2022-06,5,0.424,2.545
2022-07,29,3.042,3.147
2022-08,30,-2.93,-2.93
2022-09,6,-0.633,-3.165
2022-10,38,2.256,1.781
2022-11,29,-1.228,-1.271
2022-12,13,1.504,3.47
2023-01,31,0.174,0.168
2023-02,16,0.108,0.202
2023-03,16,0.996,1.867
2023-04,38,-0.208,-0.164
2023-05,21,3.411,4.873
2023-06,30,-0.559,-0.559
2023-07,24,1.214,1.518
2023-08,34,-0.193,-0.17
2023-09,19,-1.225,-1.934
2023-10,24,1.989,2.486
2023-11,34,4.003,3.532
2023-12,29,1.798,1.86
2024-01,30,3.103,3.103
2024-02,27,1.261,1.401
2024-03,30,-1.087,-1.087
2024-04,9,0.091,0.303
2024-05,30,0.543,0.543
2024-06,24,2.982,3.727
2024-07,22,-2.008,-2.739
2024-08,53,1.921,1.087
2024-09,25,-0.456,-0.547
2024-10,26,3.848,4.44
2024-11,28,0.466,0.5
2024-12,19,-1.193,-1.884
2025-01,19,1.306,2.062
2025-02,27,-1.776,-1.974
2025-03,11,-0.741,-2.022
2025-04,9,0.964,3.214
2025-05,32,0.517,0.484
2025-07,30,0.007,0.007
2025-08,46,2.002,1.305
2025-09,23,0.573,0.747
2025-10,29,0.104,0.108
2025-11,11,-0.765,-2.085
2025-12,27,-0.126,-0.14
2026-01,19,0.696,1.1
2026-02,15,-1.145,-2.29
